family,regime,model,mode,domain,split,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,wl,graphbpe,24,0.75,0.5416666666666666,-0.20833333333333334,-0.40277777777777773,-0.013888888888888867,11,6,0.07394630268486575,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,wl,graphbpe,37,1.0,0.7567567567567568,-0.24324324324324326,-0.3783783783783784,-0.10810810810810811,9,0,0.004249787510624469,Paired sign-flip on per-problem seed-mean solved outcomes,0.4207289635518224,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,wl,graphbpe,219,0.4170471841704718,0.0958904109589041,-0.3211567732115677,-0.35768645357686446,-0.2846270928462709,185,13,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,wl,random,3,0.4444444444444444,0.0,-0.4444444444444444,-0.6666666666666666,0.0,2,0,0.5027248637568121,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,wl,random,3,1.0,0.0,-1.0,-1.0,-1.0,3,0,0.2513874306284686,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,wl,random,20,0.08333333333333333,0.0,-0.08333333333333333,-0.15,-0.03333333333333333,5,0,0.06264686765661717,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,wl,random,2,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,wl,random,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,wl,random,16,0.5416666666666666,0.20833333333333331,-0.3333333333333333,-0.4375,-0.22916666666666666,13,0,0.00034998250087495624,Paired sign-flip on per-problem seed-mean solved outcomes,0.03744812759362032,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,wl,random,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,wl,random,9,0.48148148148148145,0.29629629629629634,-0.18518518518518517,-0.37037037037037035,1.850371707708594e-17,5,1,0.18994050297485127,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-extrapolation,wl,random,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,wl,random,24,0.75,0.5138888888888888,-0.23611111111111108,-0.4444444444444444,-0.04166666666666665,11,7,0.04544772761361932,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,wl,random,37,1.0,0.7837837837837837,-0.21621621621621623,-0.3333333333333333,-0.10810810810810813,11,0,0.0011499425028748563,Paired sign-flip on per-problem seed-mean solved outcomes,0.12074396280185991,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,wl,random,219,0.4170471841704718,0.0487062404870624,-0.36834094368340947,-0.4003044140030441,-0.3363774733637747,196,5,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,simhash,shortest_path,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,simhash,shortest_path,3,0.1111111111111111,0.0,-0.1111111111111111,-0.3333333333333333,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,simhash,shortest_path,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,simhash,shortest_path,2,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,simhash,shortest_path,3,1.0,0.7777777777777778,-0.22222222222222224,-0.6666666666666666,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,simhash,shortest_path,16,0.5,0.0,-0.5,-0.75,-0.25,8,0,0.00839958002099895,Paired sign-flip on per-problem seed-mean solved outcomes,0.7895605219739013,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,simhash,shortest_path,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,simhash,shortest_path,9,0.2592592592592593,0.2222222222222222,-0.037037037037037035,-0.3333333333333333,0.29629629629629634,2,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-extrapolation,simhash,shortest_path,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,simhash,shortest_path,24,0.8194444444444443,1.0,0.18055555555555558,0.06944444444444446,0.29166666666666674,0,8,0.00759962001899905,Paired sign-flip on per-problem seed-mean solved outcomes,0.7295635218239088,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,simhash,shortest_path,37,0.954954954954955,1.0,0.04504504504504505,0.0,0.11711711711711713,0,2,0.5018749062546872,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,simhash,shortest_path,219,0.3302891933028919,1.0,0.669710806697108,0.6103500761035009,0.7275494672754946,0,161,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,simhash,graphbpe,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,simhash,graphbpe,3,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,0.3333333333333333,0,2,0.5008749562521874,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,simhash,graphbpe,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,simhash,graphbpe,2,0.0,1.0,1.0,1.0,1.0,0,2,0.49242537873106346,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,simhash,graphbpe,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-extrapolation,simhash,graphbpe,16,0.5,1.0,0.5,0.25,0.75,0,8,0.007899605019749012,Paired sign-flip on per-problem seed-mean solved outcomes,0.7504624768761561,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,validation,simhash,graphbpe,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-interpolation,simhash,graphbpe,9,0.2592592592592593,0.1111111111111111,-0.14814814814814814,-0.3703703703703704,0.0,2,0,0.49802509874506273,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,logistics,test-extrapolation,simhash,graphbpe,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,validation,simhash,graphbpe,24,0.8194444444444443,0.5416666666666666,-0.27777777777777773,-0.47222222222222215,-0.08333333333333333,11,1,0.014149292535373231,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-interpolation,simhash,graphbpe,37,0.954954954954955,0.7567567567567568,-0.1981981981981982,-0.3333333333333333,-0.08108108108108109,8,0,0.008499575021248937,Paired sign-flip on per-problem seed-mean solved outcomes,0.7904604769761512,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,visitall-from-everywhere,test-extrapolation,simhash,graphbpe,219,0.3302891933028919,0.0958904109589041,-0.2343987823439878,-0.2876712328767123,-0.182648401826484,66,2,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00599970001499925,True,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,validation,simhash,random,3,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-interpolation,simhash,random,3,0.1111111111111111,0.0,-0.1111111111111111,-0.3333333333333333,0.0,1,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,blocks,test-extrapolation,simhash,random,20,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,validation,simhash,random,2,0.0,1.0,1.0,1.0,1.0,0,2,0.4941252937353132,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
pairwise::domain_dependent::lstm::state,domain_dependent,lstm,state,gripper,test-interpolation,simhash,random,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,pairwise::domain_dependent::lstm::state
