Regime,Domain,Tokenizer,Model,Mode,Embedding Dim,Fit Strategy,Num Seeds,Val Solved Mean,Val Solved Std,Val Exec Mean,Val Exec Std,Val Avg Plan Len Mean,Val Avg Plan Len Std,Interp Solved Mean,Interp Solved Std,Interp Exec Mean,Interp Exec Std,Interp Avg Plan Len Mean,Interp Avg Plan Len Std,Extrap Solved Mean,Extrap Solved Std,Extrap Exec Mean,Extrap Exec Std,Extrap Avg Plan Len Mean,Extrap Avg Plan Len Std
domain_dependent,blocks,shortest_path,lstm,delta,30,domain_specific,3,0.00%,0.00%,100.00%,0.00%,16.00,0.54,0.00%,0.00%,100.00%,0.00%,11.78,0.63,0.00%,0.00%,100.00%,0.00%,55.67,9.22
domain_dependent,gripper,shortest_path,lstm,delta,28,domain_specific,3,100.00%,0.00%,100.00%,0.00%,30.33,2.62,88.89%,15.71%,100.00%,0.00%,15.89,1.13,12.50%,8.84%,100.00%,0.00%,225.27,53.18
domain_dependent,logistics,shortest_path,lstm,delta,32,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,18.52%,5.24%,100.00%,0.00%,115.41,4.86,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,shortest_path,lstm,delta,27,domain_specific,3,100.00%,0.00%,100.00%,0.00%,19.17,0.47,100.00%,0.00%,100.00%,0.00%,8.64,0.11,99.54%,0.65%,100.00%,0.00%,67.06,7.94
domain_dependent,blocks,shortest_path,xgboost,state,30,domain_specific,3,0.00%,0.00%,100.00%,0.00%,13.33,0.00,0.00%,0.00%,100.00%,0.00%,14.00,0.00,0.00%,0.00%,100.00%,0.00%,125.00,0.00
domain_dependent,gripper,shortest_path,xgboost,state,28,domain_specific,3,50.00%,0.00%,100.00%,0.00%,87.50,0.00,100.00%,0.00%,100.00%,0.00%,19.00,0.00,0.00%,0.00%,100.00%,0.00%,310.00,0.00
domain_dependent,logistics,shortest_path,xgboost,state,32,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,22.22%,0.00%,100.00%,0.00%,112.00,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,shortest_path,xgboost,state,27,domain_specific,3,100.00%,0.00%,100.00%,0.00%,19.29,0.00,100.00%,0.00%,100.00%,0.00%,9.19,0.00,94.98%,0.00%,100.00%,0.00%,71.63,0.00
domain_dependent,blocks,shortest_path,xgboost,delta,30,domain_specific,3,0.00%,0.00%,100.00%,0.00%,45.33,0.00,0.00%,0.00%,100.00%,0.00%,26.00,0.00,0.00%,0.00%,100.00%,0.00%,64.20,0.00
domain_dependent,gripper,shortest_path,xgboost,delta,28,domain_specific,3,0.00%,0.00%,100.00%,0.00%,135.00,0.00,0.00%,0.00%,100.00%,0.00%,92.00,0.00,0.00%,0.00%,100.00%,0.00%,310.00,0.00
domain_dependent,logistics,shortest_path,xgboost,delta,32,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,11.11%,0.00%,100.00%,0.00%,132.11,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,shortest_path,xgboost,delta,27,domain_specific,3,100.00%,0.00%,100.00%,0.00%,18.83,0.00,100.00%,0.00%,100.00%,0.00%,8.51,0.00,100.00%,0.00%,100.00%,0.00%,61.25,0.00
domain_dependent,blocks,graphbpe,lstm,state,84,domain_specific,3,0.00%,0.00%,100.00%,0.00%,100.00,0.00,33.33%,27.22%,100.00%,0.00%,69.78,5.45,0.00%,0.00%,100.00%,0.00%,125.00,0.00
domain_dependent,gripper,graphbpe,lstm,state,58,domain_specific,3,100.00%,0.00%,100.00%,0.00%,39.00,0.00,100.00%,0.00%,100.00%,0.00%,21.00,0.00,100.00%,0.00%,100.00%,0.00%,109.00,0.00
domain_dependent,logistics,graphbpe,lstm,state,102,domain_specific,3,0.00%,0.00%,100.00%,0.00%,150.00,0.00,11.11%,0.00%,100.00%,0.00%,124.67,0.00,0.00%,0.00%,100.00%,0.00%,293.33,0.00
domain_dependent,visitall-from-everywhere,graphbpe,lstm,state,104,domain_specific,3,54.17%,0.00%,100.00%,0.00%,101.58,0.00,75.68%,0.00%,100.00%,0.00%,21.00,0.00,9.59%,0.00%,100.00%,0.00%,460.56,0.00
