family,tokenizer,model,mode,domain,split,regime_a,regime_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
regime::wl::xgboost::state,wl,xgboost,state,logistics,test-extrapolation,domain_dependent,all_domains,18,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,visitall-from-everywhere,validation,domain_dependent,all_domains,24,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,visitall-from-everywhere,test-interpolation,domain_dependent,all_domains,37,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::state,wl,xgboost,state,visitall-from-everywhere,test-extrapolation,domain_dependent,all_domains,219,0.1963470319634703,0.2146118721461187,0.0182648401826484,0.0,0.0410958904109589,1,5,0.2190390480475976,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::state
regime::wl::xgboost::delta,wl,xgboost,delta,blocks,validation,domain_dependent,all_domains,3,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,blocks,test-interpolation,domain_dependent,all_domains,3,1.0,1.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,blocks,test-extrapolation,domain_dependent,all_domains,20,0.7,0.6,-0.1,-0.3,0.1,3,1,0.6300684965751713,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,gripper,validation,domain_dependent,all_domains,2,1.0,0.0,-1.0,-1.0,-1.0,2,0,0.5052747362631869,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,gripper,test-interpolation,domain_dependent,all_domains,3,1.0,0.3333333333333333,-0.6666666666666666,-1.0,0.0,2,0,0.5004249787510624,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,gripper,test-extrapolation,domain_dependent,all_domains,16,1.0,0.0,-1.0,-1.0,-1.0,16,0,9.99950002499875e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.00119994000299985,True,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,logistics,validation,domain_dependent,all_domains,4,0.0,0.0,0.0,0.0,0.0,0,0,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
regime::wl::xgboost::delta,wl,xgboost,delta,logistics,test-interpolation,domain_dependent,all_domains,9,0.2222222222222222,0.2222222222222222,0.0,-0.3333333333333333,0.3333333333333333,1,1,1.0,Paired sign-flip on per-problem seed-mean solved outcomes,1.0,False,regime::wl::xgboost::delta
