family,regime,model,mode,tokenizer_a,tokenizer_b,num_problems,method_a_mean,method_b_mean,mean_diff_b_minus_a,ci95_low,ci95_high,a_better_problem_count,b_better_problem_count,p_value,test,holm_p_value,significant_0_05,holm_family
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,wl,graphbpe,358,0.8994413407821229,0.23743016759776536,-0.6620111731843575,-0.7122905027932961,-0.611731843575419,238,1,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,wl,random,358,0.8994413407821229,0.7932960893854749,-0.10614525139664804,-0.13966480446927373,-0.07541899441340782,38,0,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,simhash,shortest_path,358,0.22346368715083798,0.7849162011173184,0.5614525139664804,0.5027932960893855,0.6201117318435754,14,215,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,simhash,graphbpe,358,0.22346368715083798,0.23743016759776536,0.013966480446927373,-0.0223463687150838,0.05027932960893855,19,24,0.543872806359682,Paired sign-flip on per-problem seed-mean solved outcomes,0.7355632218389081,False,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,simhash,random,358,0.22346368715083798,0.7932960893854749,0.5698324022346368,0.5111731843575419,0.6284916201117319,14,218,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,shortest_path,graphbpe,358,0.7849162011173184,0.23743016759776536,-0.547486033519553,-0.611731843575419,-0.48324022346368717,219,23,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,shortest_path,random,358,0.7849162011173184,0.7932960893854749,0.008379888268156424,-0.002793296089385475,0.0223463687150838,1,4,0.36778161091945405,Paired sign-flip on per-problem seed-mean solved outcomes,0.7355632218389081,False,pairwise::domain_dependent::xgboost::delta
pairwise::domain_dependent::xgboost::delta,domain_dependent,xgboost,delta,graphbpe,random,358,0.23743016759776536,0.7932960893854749,0.5558659217877095,0.49441340782122906,0.6145251396648045,19,218,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::domain_dependent::xgboost::delta
pairwise::all_domains::lstm::state,all_domains,lstm,state,wl,simhash,358,0.7458100558659218,0.43854748603351956,-0.30726256983240224,-0.3528864059590316,-0.2616387337057728,187,17,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,wl,shortest_path,358,0.7458100558659218,0.7951582867783986,0.04934823091247673,0.02513966480446929,0.07169459962756053,24,85,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,wl,graphbpe,358,0.7458100558659218,0.24115456238361266,-0.5046554934823092,-0.5577281191806333,-0.4497206703910614,238,20,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,wl,random,358,0.7458100558659218,0.14711359404096833,-0.5986964618249535,-0.6387337057728119,-0.5586592178770949,273,0,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,simhash,shortest_path,358,0.43854748603351956,0.7951582867783986,0.356610800744879,0.30353817504655495,0.40968342644320305,16,168,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,simhash,graphbpe,358,0.43854748603351956,0.24115456238361266,-0.19739292364990688,-0.24208566108007445,-0.15176908752327745,111,18,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,simhash,random,358,0.43854748603351956,0.14711359404096833,-0.2914338919925512,-0.3333333333333333,-0.2504655493482309,151,4,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,shortest_path,graphbpe,358,0.7951582867783986,0.24115456238361266,-0.5540037243947858,-0.6154562383612663,-0.49162011173184356,219,22,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
pairwise::all_domains::lstm::state,all_domains,lstm,state,shortest_path,random,358,0.7951582867783986,0.14711359404096833,-0.6480446927374302,-0.6955307262569832,-0.6005586592178771,249,1,4.999750012499375e-05,Paired sign-flip on per-problem seed-mean solved outcomes,0.0004999750012499375,True,pairwise::all_domains::lstm::state
