regime,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,num_seeds,num_problems,solved_rate_mean,solved_rate_std,exec_rate_mean,exec_rate_std,avg_plan_len_mean,avg_plan_len_std
domain_dependent,simhash,lstm,delta,blocks,test-interpolation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,34.44444444444444,6.718318425702656
domain_dependent,simhash,lstm,delta,blocks,test-extrapolation,128,domain_specific,3,20,0.0,0.0,1.0,0.0,123.43333333333334,0.5185449728701322
domain_dependent,simhash,lstm,delta,gripper,validation,128,domain_specific,3,2,0.0,0.0,1.0,0.0,127.0,5.887840577551898
domain_dependent,simhash,lstm,delta,gripper,test-interpolation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,77.77777777777779,4.878777422244479
domain_dependent,simhash,lstm,delta,gripper,test-extrapolation,128,domain_specific,3,16,0.8125,0.0,1.0,0.0,146.3125,0.0
domain_dependent,simhash,lstm,delta,logistics,validation,128,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,simhash,lstm,delta,logistics,test-interpolation,128,domain_specific,3,9,0.037037037037037035,0.05237828008789241,1.0,0.0,130.07407407407408,4.879058579278119
domain_dependent,simhash,lstm,delta,logistics,test-extrapolation,128,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,simhash,lstm,delta,visitall-from-everywhere,validation,128,domain_specific,3,24,0.4722222222222222,0.0392837100659193,1.0,0.0,107.125,0.9147707666708396
domain_dependent,simhash,lstm,delta,visitall-from-everywhere,test-interpolation,128,domain_specific,3,37,0.8198198198198199,0.012740662724081912,1.0,0.0,24.82882882882883,0.2660328479321334
domain_dependent,simhash,lstm,delta,visitall-from-everywhere,test-extrapolation,128,domain_specific,3,219,0.1095890410958904,0.0037282948900809404,1.0,0.0,449.29680365296804,3.9306361147005755
domain_dependent,simhash,xgboost,state,blocks,validation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
domain_dependent,simhash,xgboost,state,blocks,test-interpolation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
domain_dependent,simhash,xgboost,state,blocks,test-extrapolation,128,domain_specific,3,20,0.0,0.0,1.0,0.0,125.0,0.0
domain_dependent,simhash,xgboost,state,gripper,validation,128,domain_specific,3,2,0.0,0.0,1.0,0.0,135.0,0.0
domain_dependent,simhash,xgboost,state,gripper,test-interpolation,128,domain_specific,3,3,1.0,0.0,1.0,0.0,19.0,0.0
domain_dependent,simhash,xgboost,state,gripper,test-extrapolation,128,domain_specific,3,16,0.4375,0.0,1.0,0.0,214.8125,0.0
domain_dependent,simhash,xgboost,state,logistics,validation,128,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,simhash,xgboost,state,logistics,test-interpolation,128,domain_specific,3,9,0.3333333333333333,0.0,1.0,0.0,115.77777777777777,0.0
domain_dependent,simhash,xgboost,state,logistics,test-extrapolation,128,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,simhash,xgboost,state,visitall-from-everywhere,validation,128,domain_specific,3,24,0.625,0.0,1.0,0.0,35.666666666666664,0.0
domain_dependent,simhash,xgboost,state,visitall-from-everywhere,test-interpolation,128,domain_specific,3,37,0.8918918918918919,0.0,1.0,0.0,13.108108108108109,0.0
domain_dependent,simhash,xgboost,state,visitall-from-everywhere,test-extrapolation,128,domain_specific,3,219,0.3013698630136986,0.0,1.0,0.0,410.1689497716895,0.0
domain_dependent,simhash,xgboost,delta,blocks,validation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,100.0,0.0
domain_dependent,simhash,xgboost,delta,blocks,test-interpolation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,28.0,0.0
domain_dependent,simhash,xgboost,delta,blocks,test-extrapolation,128,domain_specific,3,20,0.0,0.0,1.0,0.0,118.6,0.0
domain_dependent,simhash,xgboost,delta,gripper,validation,128,domain_specific,3,2,0.0,0.0,1.0,0.0,135.0,0.0
domain_dependent,simhash,xgboost,delta,gripper,test-interpolation,128,domain_specific,3,3,0.0,0.0,1.0,0.0,90.0,0.0
domain_dependent,simhash,xgboost,delta,gripper,test-extrapolation,128,domain_specific,3,16,0.8125,0.0,1.0,0.0,144.6875,0.0
domain_dependent,simhash,xgboost,delta,logistics,validation,128,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,simhash,xgboost,delta,logistics,test-interpolation,128,domain_specific,3,9,0.1111111111111111,0.0,1.0,0.0,123.0,0.0
domain_dependent,simhash,xgboost,delta,logistics,test-extrapolation,128,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,simhash,xgboost,delta,visitall-from-everywhere,validation,128,domain_specific,3,24,0.4166666666666667,0.0,1.0,0.0,110.41666666666667,0.0
domain_dependent,simhash,xgboost,delta,visitall-from-everywhere,test-interpolation,128,domain_specific,3,37,0.8108108108108109,0.0,1.0,0.0,24.54054054054054,0.0
domain_dependent,simhash,xgboost,delta,visitall-from-everywhere,test-extrapolation,128,domain_specific,3,219,0.1187214611872146,0.0,1.0,0.0,458.6392694063927,0.0
domain_dependent,shortest_path,lstm,state,blocks,validation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,71.55555555555556,40.22651910750137
domain_dependent,shortest_path,lstm,state,blocks,test-interpolation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,12.222222222222221,1.3698697784375504
domain_dependent,shortest_path,lstm,state,blocks,test-extrapolation,30,domain_specific,3,20,0.0,0.0,1.0,0.0,121.36666666666666,5.138309276622248
domain_dependent,shortest_path,lstm,state,gripper,validation,28,domain_specific,3,2,0.0,0.0,1.0,0.0,135.0,0.0
domain_dependent,shortest_path,lstm,state,gripper,test-interpolation,28,domain_specific,3,3,0.7777777777777778,0.15713484026367724,1.0,0.0,38.55555555555556,12.887930998888022
domain_dependent,shortest_path,lstm,state,gripper,test-extrapolation,28,domain_specific,3,16,0.0,0.0,1.0,0.0,310.0,0.0
domain_dependent,shortest_path,lstm,state,logistics,validation,32,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,shortest_path,lstm,state,logistics,test-interpolation,32,domain_specific,3,9,0.2222222222222222,0.0,1.0,0.0,112.18518518518519,0.1047565601757811
domain_dependent,shortest_path,lstm,state,logistics,test-extrapolation,32,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,shortest_path,lstm,state,visitall-from-everywhere,validation,27,domain_specific,3,24,1.0,0.0,1.0,0.0,19.291666666666668,0.0
domain_dependent,shortest_path,lstm,state,visitall-from-everywhere,test-interpolation,27,domain_specific,3,37,1.0,0.0,1.0,0.0,9.135135135135135,0.0
domain_dependent,shortest_path,lstm,state,visitall-from-everywhere,test-extrapolation,27,domain_specific,3,219,1.0,0.0,1.0,0.0,61.68036529680365,0.0
domain_dependent,shortest_path,lstm,delta,blocks,validation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,16.0,0.5443310539518176
domain_dependent,shortest_path,lstm,delta,blocks,test-interpolation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,11.777777777777779,0.6285393610547083
domain_dependent,shortest_path,lstm,delta,blocks,test-extrapolation,30,domain_specific,3,20,0.0,0.0,1.0,0.0,55.666666666666664,9.216772151295096
domain_dependent,shortest_path,lstm,delta,gripper,validation,28,domain_specific,3,2,1.0,0.0,1.0,0.0,30.333333333333332,2.6246692913372702
domain_dependent,shortest_path,lstm,delta,gripper,test-interpolation,28,domain_specific,3,3,0.8888888888888888,0.15713484026367724,1.0,0.0,15.88888888888889,1.1331154474650629
domain_dependent,shortest_path,lstm,delta,gripper,test-extrapolation,28,domain_specific,3,16,0.125,0.08838834764831845,1.0,0.0,225.27083333333334,53.180959089905684
domain_dependent,shortest_path,lstm,delta,logistics,validation,32,domain_specific,3,4,0.0,0.0,1.0,0.0,150.0,0.0
domain_dependent,shortest_path,lstm,delta,logistics,test-interpolation,32,domain_specific,3,9,0.18518518518518517,0.05237828008789241,1.0,0.0,115.4074074074074,4.862160380584896
domain_dependent,shortest_path,lstm,delta,logistics,test-extrapolation,32,domain_specific,3,18,0.0,0.0,1.0,0.0,293.3333333333333,0.0
domain_dependent,shortest_path,lstm,delta,visitall-from-everywhere,validation,27,domain_specific,3,24,1.0,0.0,1.0,0.0,19.166666666666664,0.4714045207910317
domain_dependent,shortest_path,lstm,delta,visitall-from-everywhere,test-interpolation,27,domain_specific,3,37,1.0,0.0,1.0,0.0,8.63963963963964,0.10885627003238396
domain_dependent,shortest_path,lstm,delta,visitall-from-everywhere,test-extrapolation,27,domain_specific,3,219,0.9954337899543378,0.006457596175219638,1.0,0.0,67.06392694063926,7.939651481681251
domain_dependent,shortest_path,xgboost,state,blocks,validation,30,domain_specific,3,3,0.0,0.0,1.0,0.0,13.333333333333334,0.0
