regime,seed,tokenizer,model,mode,domain,split,embedding_dim,fit_strategy,result_file,num_problems,solved_rate,exec_rate,avg_plan_len
domain_dependent,13,simhash,lstm,state,blocks,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\blocks_simhash_test-extrapolation_state_results.json,20,0.0,1.0,124.5
domain_dependent,13,simhash,lstm,state,gripper,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\gripper_simhash_validation_state_results.json,2,0.0,1.0,135.0
domain_dependent,13,simhash,lstm,state,gripper,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\gripper_simhash_test-interpolation_state_results.json,3,1.0,1.0,21.0
domain_dependent,13,simhash,lstm,state,gripper,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\gripper_simhash_test-extrapolation_state_results.json,16,0.5,1.0,211.125
domain_dependent,13,simhash,lstm,state,logistics,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\logistics_simhash_validation_state_results.json,4,0.0,1.0,150.0
domain_dependent,13,simhash,lstm,state,logistics,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\logistics_simhash_test-interpolation_state_results.json,9,0.3333333333333333,1.0,109.44444444444444
domain_dependent,13,simhash,lstm,state,logistics,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\logistics_simhash_test-extrapolation_state_results.json,18,0.0,1.0,293.3333333333333
domain_dependent,13,simhash,lstm,state,visitall-from-everywhere,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\visitall-from-everywhere_simhash_validation_state_results.json,24,0.8333333333333334,1.0,41.041666666666664
domain_dependent,13,simhash,lstm,state,visitall-from-everywhere,test-interpolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\visitall-from-everywhere_simhash_test-interpolation_state_results.json,37,0.9459459459459459,1.0,14.378378378378379
domain_dependent,13,simhash,lstm,state,visitall-from-everywhere,test-extrapolation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_state\visitall-from-everywhere_simhash_test-extrapolation_state_results.json,219,0.3333333333333333,1.0,405.98173515981733
domain_dependent,13,simhash,lstm,delta,blocks,validation,128,domain_specific,outputs\domain_dependent\results\seed_13\simhash\lstm_delta\blocks_simhash_validation_delta_results.json,3,0.0,1.0,100.0
